input_id,prompt_id,arcface_cosine_face1,arcface_cosine_face2,clip_t,psnr,ssim
img_003.webp,prompt_18,44.80%,42.67%,27.45%,32.1971,97.66%
img_003.webp,prompt_19,53.28%,49.76%,28.49%,31.3383,96.95%
img_003.webp,prompt_20,47.70%,52.64%,26.25%,31.0081,97.47%
img_003.webp,prompt_21,49.99%,42.80%,27.45%,32.8736,97.45%
img_003.webp,prompt_22,38.59%,41.13%,25.27%,28.7062,96.56%
img_003.webp,prompt_23,42.44%,42.71%,22.30%,32.0186,97.31%
img_003.webp,prompt_24,45.22%,36.24%,26.09%,31.2273,97.21%
img_003.webp,prompt_25,41.39%,44.52%,23.76%,33.2709,98.18%
img_003.webp,prompt_26,49.51%,57.83%,19.96%,36.3318,97.68%
img_003.webp,prompt_27,48.25%,48.40%,21.82%,34.9922,97.79%
img_003.webp,prompt_28,53.15%,46.72%,25.22%,34.3313,97.52%
img_003.webp,prompt_29,47.98%,37.20%,29.50%,29.606,96.74%
img_003.webp,prompt_30,23.19%,43.68%,24.03%,30.1991,97.00%
img_003.webp,prompt_31,46.53%,49.22%,31.93%,33.0737,98.13%
img_003.webp,prompt_32,36.55%,20.22%,31.28%,31.3394,97.34%
img_003.webp,prompt_33,36.15%,32.79%,24.06%,30.686,97.29%
img_003.webp,prompt_34,45.93%,40.03%,27.16%,34.1089,97.90%
img_003.webp,prompt_35,46.00%,42.80%,27.32%,38.3564,98.49%
img_003.webp,prompt_36,48.74%,44.14%,29.40%,33.4952,98.02%
img_003.webp,prompt_37,53.52%,39.80%,26.72%,31.6584,97.70%
img_003.webp,prompt_38,45.56%,45.56%,28.97%,31.8944,97.48%
img_003.webp,prompt_39,28.48%,39.43%,28.24%,31.9447,97.35%
img_003.webp,prompt_40,41.08%,45.76%,22.16%,32.7181,97.35%
img_003.webp,prompt_41,55.78%,51.27%,30.59%,33.4069,97.67%
img_101.webp,prompt_01,5.64%,62.16%,25.43%,0,0.00%
img_101.webp,prompt_02,0.67%,58.38%,30.78%,0,0.00%
img_101.webp,prompt_03,2.54%,52.58%,30.67%,0,0.00%
img_101.webp,prompt_04,6.91%,54.05%,28.70%,0,0.00%
img_101.webp,prompt_05,0.63%,44.87%,35.88%,0,0.00%
img_101.webp,prompt_06,2.70%,52.12%,30.88%,0,0.00%
img_101.webp,prompt_07,5.02%,54.85%,34.47%,0,0.00%
img_101.webp,prompt_08,2.60%,54.44%,30.09%,0,0.00%
img_101.webp,prompt_09,0.69%,48.07%,38.78%,0,0.00%
img_101.webp,prompt_10,9.02%,48.70%,31.07%,0,0.00%
img_101.webp,prompt_11,4.41%,35.84%,31.79%,0,0.00%
img_101.webp,prompt_12,0.56%,50.17%,33.23%,0,0.00%
img_101.webp,prompt_13,7.53%,42.28%,30.96%,0,0.00%
img_101.webp,prompt_14,0.40%,43.60%,31.11%,0,0.00%
img_101.webp,prompt_15,2.82%,43.17%,34.56%,0,0.00%
img_101.webp,prompt_16,0.23%,45.71%,33.03%,0,0.00%
img_101.webp,prompt_17,7.37%,45.87%,30.62%,0,0.00%
img_101.webp,prompt_18,0.16%,52.59%,32.70%,0,0.00%
